,abstract,title,ground truth venue,predicted_venue_1,predicted_venue_2,predicted_venue_3,predicted_venue_4,predicted_venue_5,predicted_venue_6,predicted_venue_7,predicted_venue_8,predicted_venue_9,predicted_venue_10,predicted_venue_11,predicted_venue_12,predicted_venue_13,predicted_venue_14,predicted_venue_15
10," the scope of this study is to diagnose vertebral arterial inefficiency by using doppler measurements from both right and left total of 96 patients ' doppler measurements , consisting of 42 of healthy , 30 of unk , and 24 patients ' age and sex information as well as unk , unk , unk , unk , and unk medical the area under roc curve , which is a direct indication of repeating success ratio , is calculated as unk it is also demonstrated that those medical parameters of age and systolic velocity , which were applied into the neural ", examination of the effects of degeneration on vertebral artery by using neural network in cases with cervical unk ,Journal of Medical Systems,Expert Systems with Applications: An International Journal,Journal of Medical Systems,Computers in Biology and Medicine,Computer Methods and Programs in Biomedicine,Applied Soft Computing,International Journal of Computer Applications in Technology,IJCNN'09 Proceedings of the 2009 international joint conference on Neural Networks,IEEE Transactions on Information Technology in Biomedicine,Artificial Intelligence in Medicine,Computers & Education,"SMC '13 Proceedings of the 2013 IEEE International Conference on Systems, Man, and Cybernetics","ICICIC '07 Proceedings of the Second International Conference on Innovative Computing, Informatio and Control",Engineering Applications of Artificial Intelligence,"SMC'09 Proceedings of the 2009 IEEE international conference on Systems, Man and Cybernetics",Knowledge-Based Systems
11," today 's networked computer systems are very vulnerable to attack : terminal software , like that used by the x many other software products , including operating systems , load parts of themselves from a server across a network . although users may be confident that their workstation is physically secure , some part of the network to which they most proposals that recommend cryptographic means to protect remotely loaded software also eliminate the advantages of remote loading -- for for this reason , they have largely been abandoned before finding their way into commercial products . this article shows that , contrary to intuition , it is no more difficult to protect a workstation that loads in contrast to prevailing practice , the authors make essential use of a unk hash function to ensure that an this strategy forces the opponent into an open , on-line guessing attack and offers the user a defensive strategy unavailable ", to whom am i speaking ? ,Computer,Computer,IEEE Spectrum,IEEE Software,IEEE Micro,IEEE Internet Computing,Encyclopedia of Computer Science,IT Professional,IEEE Security and Privacy,Journal of Computing Sciences in Colleges,Network Security,Communications of the ACM,IEEE Communications Magazine,ACM SIGOPS Operating Systems Review,ACM SIGSOFT Software Engineering Notes,Computer Communications
12," the concept of instantaneous parameters , which has previously been associated exclusively with 1-d measures like the instantaneous frequency and such generalized instantaneous parameters are associated with the short-time fourier transform . they may also be interpreted as local moments of certain time-frequency distributions . it is shown that these measures enable local signal behavior to be characterized in the time-frequency plane for nonstationary deterministic the usefulness of the generalized instantaneous parameters is demonstrated in their application to optimal selection of windows for spectrograms . this is achieved through window matching in the time-frequency plane . an algorithm is provided that illustrates the performance of this window matching . results based on simulated and real data are presented ", generalized instantaneous parameters and window matching in unk plane ,IEEE Transactions on Signal Processing,IEEE Transactions on Signal Processing,IEEE Transactions on Image Processing,"IEEE Transactions on Audio, Speech, and Language Processing",IEEE Transactions on Information Theory,IEEE Transactions on Neural Networks,Signal Processing,Digital Signal Processing,EURASIP Journal on Applied Signal Processing,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",IEEE Journal on Selected Areas in Communications,IEEE Transactions on Wireless Communications,IEEE Transactions on Circuits and Systems for Video Technology,"IEEE Transactions on Systems, Man, and Cybernetics, Part A: Systems and Humans",IEEE Transactions on Pattern Analysis and Machine Intelligence,"IEEE Transactions on Systems, Man, and Cybernetics, Part C: Applications and Reviews"
13," by means of the unk formula , we establish two new matrix inversions with four parameters . these new inversions unk riordan 's inverse relations of unk , unk , and unk as well as unk 's some related q-series inverse relations using the known unk of the unk formula are established . a @ unk of unk 's unk , a novel expression for all unk inversions , and several new summation "," two matrix inversions associated with the unk formula , their unk and applications ",Journal of Combinatorial Theory Series A,Journal of Approximation Theory,Computers & Mathematics with Applications,Journal of Computational and Applied Mathematics,Applied Mathematics and Computation,Finite Fields and Their Applications,Journal of Combinatorial Theory Series A,European Journal of Combinatorics,Discrete Applied Mathematics,Advances in Applied Mathematics,Discrete Mathematics,Mathematical and Computer Modelling: An International Journal,Applied Numerical Mathematics,Information Sciences: an International Journal,"Designs, Codes and Cryptography",International Journal of Computer Mathematics
14," this paper presents a new methodology to simulate soft object deformation by drawing an analogy between a cellular neural network the potential energy stored in an elastic body as a result of a deformation caused by an external force is the novelty of the methodology is that : 1 ) cnn techniques are established to describe the potential energy distribution integration with a haptic device has been achieved for deformable object simulation with force feedback . the proposed methodology not only predicts the typical behaviors of living tissues , but it also accommodates isotropic , anisotropic ", a cellular neural network methodology for deformable object simulation ,IEEE Transactions on Information Technology in Biomedicine,IROS'09 Proceedings of the 2009 IEEE/RSJ international conference on Intelligent robots and systems,Journal of Intelligent and Robotic Systems,ICRA'09 Proceedings of the 2009 IEEE international conference on Robotics and Automation,IEEE Transactions on Intelligent Transportation Systems,Robotics and Autonomous Systems,IEEE Transactions on Information Technology in Biomedicine,International Journal of Robotics Research,Neurocomputing,IEEE Transactions on Robotics,Robotica,"SMC '13 Proceedings of the 2013 IEEE International Conference on Systems, Man, and Cybernetics",IEEE Transactions on Neural Networks,Autonomous Robots,"IEEE Transactions on Systems, Man, and Cybernetics, Part A: Systems and Humans",Expert Systems with Applications: An International Journal
15," profile data is valuable for identifying program hotspots and guiding optimizations . traditional software profiling techniques incur significant overhead and are not suitable for unk ( dynamic binary translation ) systems . hardware can support profile collection through either counters or timer interrupts that permit collection of statistical samples via software . most unk profiling systems can only achieve either high profile accuracy or low overhead . in this paper , we propose a novel profile approach on unk using hardware support technique to achieve rapidly and this approach makes use of instrumentation code and a set of profiling hardware which supports operations of updating counters . it is believed that such a software-hardware collaborative approach will serve to provide a strong foundation for optimizing unk systems ", a runtime profile method for dynamic binary translation using unk technique ,ICISE '09 Proceedings of the 2009 First IEEE International Conference on Information Science and Engineering,Journal of Systems Architecture: the EUROMICRO Journal,IEEE Transactions on Computers,IEEE Transactions on Software Engineering,Journal of Systems and Software,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,"Proceedings of the conference on Design, automation and test in Europe",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,Journal of Electronic Testing: Theory and Applications,ACM SIGSOFT Software Engineering Notes,Electronic Notes in Theoretical Computer Science (ENTCS),IEEE Transactions on Parallel and Distributed Systems,The Journal of Supercomputing,"Proceedings of the Conference on Design, Automation and Test in Europe",ACM SIGPLAN Notices,Software—Practice & Experience
16," the paper presents a method to compute performance metrics ( response time , sojourn time , throughput ) on unified the method starts with uml design annotated according to the uml profile for schedulability , performance and time . the uml design is transformed into a performance model where to compute the referred metrics . being the performance model a stochastic well-formed net , the method is enabled to analyze systems where the object identities a complete case study reveals how to apply the method and its usefulness . ", performance evaluation of uml design with stochastic well-formed nets ,Journal of Systems and Software,Journal of Systems and Software,IEEE Transactions on Software Engineering,Journal of Electronic Testing: Theory and Applications,"Proceedings of the conference on Design, automation and test in Europe",ACM SIGSOFT Software Engineering Notes,Journal of Systems Architecture: the EUROMICRO Journal,Simulation,The Journal of Supercomputing,Information and Software Technology,Computers and Electrical Engineering,IEEE Transactions on Computers,Performance Evaluation,Computer Standards & Interfaces,IEICE - Transactions on Information and Systems,"Proceedings of the Conference on Design, Automation and Test in Europe"
17," when combinatorial bidding is permitted in auctions , such as the proposed fcc auction # 31 , the resulting full we present a branch-and-price algorithm based on a unk formulation originally proposed by unk and forrest ( 2002 , unk the ima volumes in mathematics and its applications , vol . 127 , unk , new york , unk ) . this formulation has a variable for every possible combination of winning bids for each bidder . our algorithm exploits the structure of the unk bidding language used by the fcc . we also present a new methodology to produce realistic test problems based on the unk results of fcc auction # we generate unk test problems , which involve 99 items and are substantially larger than most of the previously used ", a branch-and-price algorithm and new test problems for spectrum auctions ,Management Science,INFORMS Journal on Computing,Operations Research,Management Science,Proceedings of the Winter Simulation Conference,Computers and Operations Research,Computational Optimization and Applications,Transportation Science,Computational Economics,Journal of Global Optimization,Simulation,The Journal of Machine Learning Research,Mathematical Programming: Series A and B,Automatica (Journal of IFAC),Decision Support Systems,Journal of Computational and Applied Mathematics
18, atm based virtual private networks ( unk ) are embedded in public atm network to provide an efficient transport service in this paper we propose a centralized protocol for resource allocation in unk and compare its performance with that of we analyze the protocol to get average burst delay and burst loss probability in case of finite buffering at the , performance of centralized bandwidth reservation protocol in unk ,ACM SIGCOMM Computer Communication Review,Computer Communications,"WiCOM'09 Proceedings of the 5th International Conference on Wireless communications, networking and mobile computing",Journal of Computer Science and Technology,Wireless Personal Communications: An International Journal,ICYCS '08 Proceedings of the 2008 The 9th International Conference for Young Computer Scientists,ICISE '09 Proceedings of the 2009 First IEEE International Conference on Information Science and Engineering,Computer Networks: The International Journal of Computer and Telecommunications Networking,IEEE Communications Letters,CSSS '12 Proceedings of the 2012 International Conference on Computer Science and Service System,GLOBECOM'09 Proceedings of the 28th IEEE conference on Global telecommunications,Information Processing Letters,Computers and Electrical Engineering,"ICECC '12 Proceedings of the 2012 International Conference on Electronics, Communications and Control",ICC'09 Proceedings of the 2009 IEEE international conference on Communications,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences"
19," robotic cells consist of a flow-shop with a robot for material handling . a single part is to be produced cyclically and the objective is to minimize production rate . this document introduces basic concepts and tools for dealing with cyclic production . in particular , it concentrates on unk which are production cycles where exactly k parts enter and leave the cell one defines the cycle function k which is the smallest value of k so that the set of all unk known results and conjectures on these functions are given for the classical case where parts can remain on the machine "," identical part production in cyclic robotic cells : concepts , overview and open questions ",Discrete Applied Mathematics,Mathematical and Computer Modelling: An International Journal,Robotica,Robotics and Computer-Integrated Manufacturing,Journal of Intelligent and Robotic Systems,Computers and Operations Research,International Journal of Robotics Research,IEEE Transactions on Robotics,Journal of Computing Sciences in Colleges,Computers & Mathematics with Applications,Robotics and Autonomous Systems,IROS'09 Proceedings of the 2009 IEEE/RSJ international conference on Intelligent robots and systems,Applied Mathematics and Computation,ACM SIGART Bulletin,Advances in Engineering Software,Computers and Industrial Engineering
20," in this work , a system of two nonlinear integro-differential equations which arises in biology is considered and the well-known this method is based on the incorporation of a general lagrange multiplier in the construction of correction functional for the this technique reduces the volume of calculations by not requiring discretization of the variables , linearization or small perturbations and also a numerical technique based on the pseudospectral legendre method is developed to solve the model . several test problems are given and the results are compared with adomian decomposition method and the variational iteration technique . ", solution of a model describing biological species living together using the variational iteration method ,Mathematical and Computer Modelling: An International Journal,Journal of Computational Physics,Journal of Computational and Applied Mathematics,Computers & Mathematics with Applications,Applied Mathematics and Computation,Mathematical and Computer Modelling: An International Journal,Mathematics and Computers in Simulation,Applied Numerical Mathematics,Journal of Scientific Computing,Computers & Geosciences,SIAM Journal on Scientific Computing,Advances in Engineering Software,Computers and Structures,International Journal of Computer Mathematics,Finite Elements in Analysis and Design,Computer Methods and Programs in Biomedicine
21," new mothers can experience social exclusion , particularly during the early weeks when infants are solely dependent on their mothers we used ethnographic methods to investigate whether technology plays a role in supporting new mothers . our research identified two core themes : ( 1 ) the need to improve confidence as a mother ; and we reflect on these findings both in terms of those interested in designing applications and services for unk and also ", digital unk : how does technology help new mothers ? ,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '13 Extended Abstracts on Human Factors in Computing Systems,ACM SIGCHI Bulletin,Personal and Ubiquitous Computing,International Journal of Human-Computer Studies,Computers in Human Behavior,HICSS '09 Proceedings of the 42nd Hawaii International Conference on System Sciences,Computers & Education,HICSS '13 Proceedings of the 2013 46th Hawaii International Conference on System Sciences,Organization Science,HICSS '14 Proceedings of the 2014 47th Hawaii International Conference on System Sciences,HICSS '12 Proceedings of the 2012 45th Hawaii International Conference on System Sciences,ACM SIGSOFT Software Engineering Notes,HICSS '07 Proceedings of the 40th Annual Hawaii International Conference on System Sciences,ACM SIGCOMM Computer Communication Review
22, we describe a way to write state machines inductively . the proposed method makes it possible to use the standard techniques for proving theorems on inductive types to verify that a mutual exclusion protocol using a queue is used to exemplify the proposed method . , state machines as inductive types ,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",Electronic Notes in Theoretical Computer Science (ENTCS),ACM SIGPLAN Notices,ACM Transactions on Programming Languages and Systems (TOPLAS),ACM SIGSOFT Software Engineering Notes,Fundamenta Informaticae,Theoretical Computer Science,Information and Computation,IEEE Transactions on Software Engineering,ACM SIGOPS Operating Systems Review,Science of Computer Programming,Mathematical Structures in Computer Science,Information Processing Letters,ACM SIGCSE Bulletin,ACM SIGART Bulletin,Communications of the ACM
23," firms that set up electronic marketplaces to enhance their supply and/or distribution channels face challenges in attracting their competitors to a major obstacle is the perception that the owner can unk exploit trading information for competitive advantage . in this paper , we propose a marketplace design that shifts the locus of control over trader privacy from the we show how online transactions between trading partners can be conducted in total privacy , so that not even the at the same time , our approach includes robust methods for transaction integrity and unk , as well as unk ", design of robust business-to-business electronic marketplaces with guaranteed privacy ,Management Science,Computer Networks: The International Journal of Computer and Telecommunications Networking,IEEE/ACM Transactions on Networking (TON),IEEE Transactions on Mobile Computing,IEEE Journal on Selected Areas in Communications,IEEE Transactions on Knowledge and Data Engineering,Decision Support Systems,Computer Communications,IEEE Transactions on Parallel and Distributed Systems,ACM SIGCOMM Computer Communication Review,"IEEE Transactions on Systems, Man, and Cybernetics, Part A: Systems and Humans",Journal of Management Information Systems,Performance Evaluation,IEEE Transactions on Software Engineering,ACM SIGMETRICS Performance Evaluation Review,Proceedings of the VLDB Endowment
24," the solution of the segmentation problem requires a mechanism for partitioning the image array into low-level entities based on a a piecewise-smooth surface model for image data that possesses surface coherence properties is used to develop an algorithm that simultaneously surface curvature sign labeling provides an initial coarse image segmentation , which is refined by an iterative region-growing method based experimental results show the algorithm 's performance on six range images and three intensity images . ", segmentation through variable-order surface fitting ,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE Transactions on Pattern Analysis and Machine Intelligence,Pattern Recognition Letters,Pattern Recognition,Image and Vision Computing,IEEE Transactions on Image Processing,IEEE Transactions on Consumer Electronics,ICIP'09 Proceedings of the 16th IEEE international conference on Image processing,ICECE '10 Proceedings of the 2010 International Conference on Electrical and Control Engineering,Machine Vision and Applications,IEEE Computer Graphics and Applications,International Journal of Computer Vision,Journal of Mathematical Imaging and Vision,ICISE '09 Proceedings of the 2009 First IEEE International Conference on Information Science and Engineering,IEEE Transactions on Circuits and Systems for Video Technology,Journal of Computer Science and Technology
25," in the last decades , we have experienced a rapid increase in the number of available online e-services . agent-based computing has been advocated as a natural computational model to automate the interaction with those services , thus enabling in these latter , agents may use trust and reputation as the main control mechanism and they usually exchange such however , due to the semantic heterogeneity of the different reputation models , agents interaction about reputation has to deal therefore , this paper presents some experiments using unk , an architecture that enables the semantic interoperability among agents that such experiments were conducted using two reputation testbeds and three agent reputation models in order to analyze the accuracy of ", experiments on semantic interoperability of agent reputation models using the unk architecture ,Engineering Applications of Artificial Intelligence,Expert Systems with Applications: An International Journal,Knowledge-Based Systems,Decision Support Systems,International Journal of Computer Applications in Technology,Applied Intelligence,Engineering Applications of Artificial Intelligence,Applied Soft Computing,Information Sciences: an International Journal,Future Generation Computer Systems,Information Systems Frontiers,"SMC '13 Proceedings of the 2013 IEEE International Conference on Systems, Man, and Cybernetics",Computers in Industry,"SMC'09 Proceedings of the 2009 IEEE international conference on Systems, Man and Cybernetics",Data & Knowledge Engineering,Computer Standards & Interfaces
26," the quadratic assignment problem ( qap ) consists of assigning n facilities to n locations to minimize the total weighted the qap arises in many diverse settings , is known to be np-hard , and can be solved to optimality neighborhood search algorithms are the most popular heuristic algorithms for solving larger instances of the qap . the most extensively applied neighborhood structure for the qap is the unk neighborhood . this neighborhood is obtained by swapping the locations of two facilities ; its size is therefore o ( n2 ) previous efforts to explore larger neighborhoods ( such as unk or unk neighborhoods ) were not very successful , as in this paper , we propose very large-scale neighborhood ( unk ) search algorithms when the size of the neighborhood our search procedure relies on the concept of an improvement graph that allows us to evaluate neighbors much faster than ", very large-scale neighborhood search for the quadratic assignment problem ,INFORMS Journal on Computing,INFORMS Journal on Computing,Computers and Operations Research,Operations Research,Transportation Science,Computational Optimization and Applications,Journal of Global Optimization,Mathematical Programming: Series A and B,Discrete Applied Mathematics,Management Science,Journal of Artificial Intelligence Research,SIAM Journal on Optimization,Computers and Industrial Engineering,Operations Research Letters,Artificial Intelligence,Mathematics of Operations Research
27," coclustering heterogeneous data has attracted extensive attention recently due to its high impact on various important applications , such us however , data coclustering without any prior knowledge or background information is still a challenging problem . in this paper , we propose a semisupervised non-negative matrix factorization ( unk ) framework for data coclustering . specifically , our method computes new relational matrices by incorporating user provided constraints through simultaneous distance metric learning and modality using an iterative algorithm , we then perform unk of the new matrices to infer the clusters of different data theoretically , we prove the convergence and correctness of unk coclustering and show the relationship between unk with other well-known through extensive experiments conducted on publicly available text , gene expression , and image data sets , we demonstrate the ", non-negative matrix factorization for semisupervised heterogeneous data coclustering ,IEEE Transactions on Knowledge and Data Engineering,IEEE Transactions on Knowledge and Data Engineering,Proceedings of the VLDB Endowment,Knowledge and Information Systems,The VLDB Journal — The International Journal on Very Large Data Bases,Information Systems,Pattern Recognition,Information Sciences: an International Journal,Neurocomputing,Data & Knowledge Engineering,IEEE/ACM Transactions on Computational Biology and Bioinformatics (TCBB),IEEE Transactions on Parallel and Distributed Systems,Pattern Recognition Letters,Information Processing and Management: an International Journal,IEEE Transactions on Pattern Analysis and Machine Intelligence,Expert Systems with Applications: An International Journal
